年度,縣市,用電性質,用電比例,,
2023,苗栗縣,工業,74.05,,
2023,苗栗縣,其他,0.43,,
2023,彰化縣,住宅,22.91,,
2023,彰化縣,服務業,19.85,,
2023,彰化縣,機關(政府+包燈+大專院校),2.17,,
2023,彰化縣,工業,50.57,,
2023,彰化縣,其他,4.5,,
2023,南投縣,住宅,31.86,,
2023,南投縣,服務業,21.42,,
2023,南投縣,機關(政府+包燈+大專院校),4.32,,
2023,南投縣,工業,38.44,,
2023,南投縣,其他,3.96,,
2023,雲林縣,住宅,25.56,,
2023,雲林縣,服務業,14.37,,
2023,雲林縣,機關(政府+包燈+大專院校),2.89,,
2023,雲林縣,工業,49.6,,
2023,雲林縣,其他,7.59,,
2023,嘉義縣,住宅,29.65,,
2023,嘉義縣,服務業,15.79,,
2023,嘉義縣,機關(政府+包燈+大專院校),4.38,,
2023,嘉義縣,工業,41.34,,
2023,嘉義縣,其他,8.84,,
2023,屏東縣,住宅,33.35,,
2023,屏東縣,服務業,22.44,,
2023,屏東縣,機關(政府+包燈+大專院校),4.32,,
2023,屏東縣,工業,25.09,,
2023,屏東縣,其他,14.8,,
2023,台東縣,住宅,41.02,,
2023,台東縣,服務業,36.68,,
2023,台東縣,機關(政府+包燈+大專院校),7.25,,
2023,台東縣,工業,12.18,,
2023,台東縣,其他,2.87,,
2023,花蓮縣,住宅,27.61,,
2023,花蓮縣,服務業,26.91,,
2023,花蓮縣,機關(政府+包燈+大專院校),6.39,,
2023,花蓮縣,工業,38.01,,
2023,花蓮縣,其他,1.09,,
2023,基隆市,住宅,48.2,,
2023,基隆市,服務業,32.2,,
2023,基隆市,機關(政府+包燈+大專院校),5.14,,
2023,基隆市,工業,14.11,,
2023,基隆市,其他,0.35,,
2023,新竹市,住宅,11.81,,
2023,新竹市,服務業,12.63,,
2023,新竹市,機關(政府+包燈+大專院校),2.41,,
2023,新竹市,工業,73.05,,
2023,新竹市,其他,0.1,,
2023,嘉義市,住宅,44.71,,
2023,嘉義市,服務業,42.24,,
2023,嘉義市,機關(政府+包燈+大專院校),5.47,,
2023,嘉義市,工業,6.94,,
2023,嘉義市,其他,0.64,,
2023,澎湖縣,住宅,40.32,,
2023,澎湖縣,服務業,39.04,,
2023,澎湖縣,機關(政府+包燈+大專院校),9.2,,
2023,澎湖縣,工業,10.54,,
2023,澎湖縣,其他,0.88,,
2023,金門縣,住宅,40.44,,
2023,金門縣,服務業,34.93,,
2023,金門縣,機關(政府+包燈+大專院校),12.28,,
2023,金門縣,工業,11.3,,
2023,金門縣,其他,1.06,,
2023,連江縣,住宅,36.25,,
2023,連江縣,服務業,42.52,,
2023,連江縣,機關(政府+包燈+大專院校),11.33,,
2023,連江縣,工業,9.79,,
2023,連江縣,其他,0.1,,
2022,新北市,住宅,39.98,,
2022,新北市,服務業,28.67,,
2022,新北市,機關(政府+包燈+大專院校),3.18,,
2022,新北市,工業,28.06,,
2022,新北市,其他,0.12,,
2022,台北市,住宅,32.34,,
2022,台北市,服務業,54.88,,
2022,台北市,機關(政府+包燈+大專院校),8.91,,
2022,台北市,工業,3.81,,
2022,台北市,其他,0.05,,
2022,桃園市,住宅,17.25,,
2022,桃園市,服務業,14.47,,
2022,桃園市,機關(政府+包燈+大專院校),1.82,,
2022,桃園市,工業,66.3,,
2022,桃園市,其他,0.17,,
2022,台中市,住宅,18.38,,
2022,台中市,服務業,16.3,,
2022,台中市,機關(政府+包燈+大專院校),2.15,,
2022,台中市,工業,62.69,,
2022,台中市,其他,0.48,,
2022,台南市,住宅,13.01,,
2022,台南市,服務業,9.16,,
2022,台南市,機關(政府+包燈+大專院校),1.6,,
2022,台南市,工業,74.87,,
2022,台南市,其他,1.36,,
2022,高雄市,住宅,19.01,,
2022,高雄市,服務業,17.07,,
2022,高雄市,機關(政府+包燈+大專院校),2.76,,
2022,高雄市,工業,60.37,,
2022,高雄市,其他,0.8,,
2022,宜蘭縣,住宅,27.72,,
2022,宜蘭縣,服務業,21.45,,
2022,宜蘭縣,機關(政府+包燈+大專院校),4.08,,
2022,宜蘭縣,工業,44.71,,
2022,宜蘭縣,其他,2.03,,
2022,新竹縣,住宅,12.28,,
2022,新竹縣,服務業,9.2,,
2022,新竹縣,機關(政府+包燈+大專院校),1.31,,
2022,新竹縣,工業,76.99,,
2022,新竹縣,其他,0.21,,
2022,苗栗縣,住宅,14.49,,
2022,苗栗縣,服務業,8.59,,
2022,苗栗縣,機關(政府+包燈+大專院校),1.88,,
2022,苗栗縣,工業,74.61,,
2022,苗栗縣,其他,0.43,,
2022,彰化縣,住宅,21.62,,
2022,彰化縣,服務業,18.53,,
2022,彰化縣,機關(政府+包燈+大專院校),2.24,,
2022,彰化縣,工業,53.3,,
2022,彰化縣,其他,4.31,,
2022,南投縣,住宅,31.03,,
2022,南投縣,服務業,20.57,,
2022,南投縣,機關(政府+包燈+大專院校),4.56,,
2022,南投縣,工業,40.15,,
2022,南投縣,其他,3.69,,
2022,雲林縣,住宅,24.51,,
2022,雲林縣,服務業,13.64,,
2022,雲林縣,機關(政府+包燈+大專院校),3.08,,
2022,雲林縣,工業,51.37,,
2022,雲林縣,其他,7.4,,
2022,嘉義縣,住宅,26.54,,
2022,嘉義縣,服務業,14.49,,
2022,嘉義縣,機關(政府+包燈+大專院校),4.34,,
2022,嘉義縣,工業,46.86,,
2022,嘉義縣,其他,7.77,,
2022,屏東縣,住宅,33.09,,
2022,屏東縣,服務業,21.64,,
2022,屏東縣,機關(政府+包燈+大專院校),4.68,,
2022,屏東縣,工業,25.74,,
2022,屏東縣,其他,14.85,,
2022,台東縣,住宅,41.09,,
2022,台東縣,服務業,36.38,,
2022,台東縣,機關(政府+包燈+大專院校),7.78,,
2022,台東縣,工業,11.88,,
2022,台東縣,其他,2.87,,
2022,花蓮縣,住宅,26.79,,
2022,花蓮縣,服務業,25.8,,
2022,花蓮縣,機關(政府+包燈+大專院校),6.74,,
2022,花蓮縣,工業,39.65,,
2022,花蓮縣,其他,1.02,,
2022,基隆市,住宅,47.81,,
2022,基隆市,服務業,32.39,,
2022,基隆市,機關(政府+包燈+大專院校),5.39,,
2022,基隆市,工業,14.07,,
2022,基隆市,其他,0.34,,
2022,新竹市,住宅,10.22,,
2022,新竹市,服務業,11.1,,
2022,新竹市,機關(政府+包燈+大專院校),2.29,,
2022,新竹市,工業,76.3,,
2022,新竹市,其他,0.09,,
2022,嘉義市,住宅,44.21,,
2022,嘉義市,服務業,42.12,,
2022,嘉義市,機關(政府+包燈+大專院校),5.81,,
2022,嘉義市,工業,7.27,,
2022,嘉義市,其他,0.58,,
2022,澎湖縣,住宅,39.87,,
2022,澎湖縣,服務業,38.81,,
2022,澎湖縣,機關(政府+包燈+大專院校),10.16,,
2022,澎湖縣,工業,10.21,,
2022,澎湖縣,其他,0.95,,
2022,金門縣,住宅,40,,
2022,金門縣,服務業,34.2,,
2022,金門縣,機關(政府+包燈+大專院校),13.2,,
2022,金門縣,工業,11.46,,
2022,金門縣,其他,1.15,,
2022,連江縣,住宅,35.43,,
2022,連江縣,服務業,41.75,,
2022,連江縣,機關(政府+包燈+大專院校),13.07,,
2022,連江縣,工業,9.65,,
2022,連江縣,其他,0.11,,
2021,新北市,住宅,41.88,,
2021,新北市,服務業,26.38,,
2021,新北市,機關(政府+包燈+大專院校),2.85,,
2021,新北市,工業,28.77,,
2021,新北市,其他,0.12,,
2021,台北市,住宅,35.09,,
2021,台北市,服務業,52.79,,
2021,台北市,機關(政府+包燈+大專院校),8.25,,
2021,台北市,工業,3.79,,
2021,台北市,其他,0.08,,
2021,桃園市,住宅,17.54,,
2021,桃園市,服務業,13.77,,
2021,桃園市,機關(政府+包燈+大專院校),1.64,,
2021,桃園市,工業,66.87,,
2021,桃園市,其他,0.18,,
2021,台中市,住宅,18.7,,
2021,台中市,服務業,15.44,,
2021,台中市,機關(政府+包燈+大專院校),1.94,,
2021,台中市,工業,63.44,,
2021,台中市,其他,0.48,,
2021,台南市,住宅,13.69,,
2021,台南市,服務業,9.14,,
2021,台南市,機關(政府+包燈+大專院校),1.51,,
2021,台南市,工業,74.29,,
2021,台南市,其他,1.37,,
2021,高雄市,住宅,19,,
2021,高雄市,服務業,16.27,,
2021,高雄市,機關(政府+包燈+大專院校),2.53,,
2021,高雄市,工業,61.42,,
2021,高雄市,其他,0.78,,
2021,宜蘭縣,住宅,27.96,,
2021,宜蘭縣,服務業,20.25,,
2021,宜蘭縣,機關(政府+包燈+大專院校),3.83,,
2021,宜蘭縣,工業,45.9,,
2021,宜蘭縣,其他,2.06,,
2021,新竹縣,住宅,13.76,,
2021,新竹縣,服務業,9.08,,
2021,新竹縣,機關(政府+包燈+大專院校),1.32,,
2021,新竹縣,工業,75.6,,
2021,新竹縣,其他,0.24,,
2021,苗栗縣,住宅,14.56,,
2021,苗栗縣,服務業,8.22,,
2021,苗栗縣,機關(政府+包燈+大專院校),1.71,,
2021,苗栗縣,工業,75.07,,
2021,苗栗縣,其他,0.44,,
2021,彰化縣,住宅,21.51,,
2021,彰化縣,服務業,16.9,,
2021,彰化縣,機關(政府+包燈+大專院校),2.01,,
2021,彰化縣,工業,55.2,,
2021,彰化縣,其他,4.38,,
2021,南投縣,住宅,30.66,,
2021,南投縣,服務業,19.3,,
2021,南投縣,機關(政府+包燈+大專院校),4.07,,
2021,南投縣,工業,42.4,,
2021,南投縣,其他,3.57,,
2021,雲林縣,住宅,24.61,,
2021,雲林縣,服務業,13.02,,
2021,雲林縣,機關(政府+包燈+大專院校),2.77,,
2021,雲林縣,工業,52.1,,
2021,雲林縣,其他,7.5,,
2021,嘉義縣,住宅,30.22,,
2021,嘉義縣,服務業,15.13,,
2021,嘉義縣,機關(政府+包燈+大專院校),4.36,,
2021,嘉義縣,工業,41.39,,
2021,嘉義縣,其他,8.9,,
2021,屏東縣,住宅,33.87,,
2021,屏東縣,服務業,20.35,,
2021,屏東縣,機關(政府+包燈+大專院校),4.23,,
2021,屏東縣,工業,26.45,,
2021,屏東縣,其他,15.1,,
2021,台東縣,住宅,42.68,,
2021,台東縣,服務業,34.8,,
2021,台東縣,機關(政府+包燈+大專院校),7.38,,
2021,台東縣,工業,12.01,,
2021,台東縣,其他,3.13,,
2021,花蓮縣,住宅,27.56,,
2021,花蓮縣,服務業,25.12,,
2021,花蓮縣,機關(政府+包燈+大專院校),6.26,,
2021,花蓮縣,工業,39.99,,
2021,花蓮縣,其他,1.07,,
2021,基隆市,住宅,49.49,,
2021,基隆市,服務業,31.18,,
2021,基隆市,機關(政府+包燈+大專院校),4.93,,
2021,基隆市,工業,14.39,,
2021,基隆市,其他,0.01,,
2021,新竹市,住宅,10.13,,
2021,新竹市,服務業,10.62,,
2021,新竹市,機關(政府+包燈+大專院校),2.02,,
2021,新竹市,工業,77.13,,
2021,新竹市,其他,0.1,,
2021,嘉義市,住宅,45.62,,
2021,嘉義市,服務業,39.99,,
2021,嘉義市,機關(政府+包燈+大專院校),5.38,,
2021,嘉義市,工業,8.42,,
2021,嘉義市,其他,0.59,,
2021,澎湖縣,住宅,41.39,,
2021,澎湖縣,服務業,36.94,,
2021,澎湖縣,機關(政府+包燈+大專院校),9.68,,
2021,澎湖縣,工業,10.98,,
2021,澎湖縣,其他,1.01,,
2021,金門縣,住宅,41.05,,
2021,金門縣,服務業,33.41,,
2021,金門縣,機關(政府+包燈+大專院校),12.39,,
